Sex,Industry of Employment,Region,Value
Males,Accommodation and Food Services,Alphington - Fairfield,165
Females,Accommodation and Food Services,Alphington - Fairfield,169
Males,"Transport, Postal and Warehousing",Alphington - Fairfield,89
Females,"Transport, Postal and Warehousing",Alphington - Fairfield,47
Males,Information Media and Telecommunications,Alphington - Fairfield,95
Females,Information Media and Telecommunications,Alphington - Fairfield,70
Males,Financial and Insurance Services,Alphington - Fairfield,153
Females,Financial and Insurance Services,Alphington - Fairfield,121
Males,"Rental, Hiring and Real Estate Services",Alphington - Fairfield,44
Females,"Rental, Hiring and Real Estate Services",Alphington - Fairfield,48
Males,"Professional, Scientific and Technical Services",Alphington - Fairfield,337
Females,"Professional, Scientific and Technical Services",Alphington - Fairfield,261
Males,Administrative and Support Services,Alphington - Fairfield,81
Females,Administrative and Support Services,Alphington - Fairfield,50
Males,Public Administration and Safety,Alphington - Fairfield,158
Females,Public Administration and Safety,Alphington - Fairfield,183
Males,Education and Training,Alphington - Fairfield,224
Females,Education and Training,Alphington - Fairfield,374
Males,Health Care and Social Assistance,Alphington - Fairfield,201
Females,Health Care and Social Assistance,Alphington - Fairfield,505
Males,Arts and Recreation Services,Alphington - Fairfield,85
Females,Arts and Recreation Services,Alphington - Fairfield,86
Males,Other Services,Alphington - Fairfield,56
Females,Other Services,Alphington - Fairfield,83
Males,Inadequately described and not stated,Alphington - Fairfield,101
Females,Inadequately described and not stated,Alphington - Fairfield,73
Males,"Agriculture, Forestry and Fishing",Northcote,25
Females,"Agriculture, Forestry and Fishing",Northcote,13
Males,Mining,Northcote,20
Females,Mining,Northcote,5
Males,Manufacturing,Northcote,323
Females,Manufacturing,Northcote,203
Males,"Electricity, Gas, Water and Waste Services",Northcote,80
Females,"Electricity, Gas, Water and Waste Services",Northcote,39
Males,Construction,Northcote,540
Females,Construction,Northcote,85
Males,Wholesale Trade,Northcote,169
Females,Wholesale Trade,Northcote,128
Males,Retail Trade,Northcote,447
Females,Retail Trade,Northcote,569
Males,Accommodation and Food Services,Northcote,405
Females,Accommodation and Food Services,Northcote,433
Males,"Transport, Postal and Warehousing",Northcote,230
Females,"Transport, Postal and Warehousing",Northcote,88
Males,Information Media and Telecommunications,Northcote,302
Females,Information Media and Telecommunications,Northcote,228
Males,Financial and Insurance Services,Northcote,314
Females,Financial and Insurance Services,Northcote,294
Males,"Rental, Hiring and Real Estate Services",Northcote,102
Females,"Rental, Hiring and Real Estate Services",Northcote,80
Males,"Professional, Scientific and Technical Services",Northcote,993
Females,"Professional, Scientific and Technical Services",Northcote,939
Males,Administrative and Support Services,Northcote,186
Females,Administrative and Support Services,Northcote,187
Males,Public Administration and Safety,Northcote,415
Females,Public Administration and Safety,Northcote,583
Males,Education and Training,Northcote,668
Females,Education and Training,Northcote,1154
Males,Health Care and Social Assistance,Northcote,486
Females,Health Care and Social Assistance,Northcote,1416
Males,Arts and Recreation Services,Northcote,273
Females,Arts and Recreation Services,Northcote,269
Males,Other Services,Northcote,173
Females,Other Services,Northcote,264
Males,Inadequately described and not stated,Northcote,254
Females,Inadequately described and not stated,Northcote,202
Males,"Agriculture, Forestry and Fishing",Thornbury,17
Females,"Agriculture, Forestry and Fishing",Thornbury,5
Males,Mining,Thornbury,7
Females,Mining,Thornbury,7
Males,Manufacturing,Thornbury,302
Females,Manufacturing,Thornbury,160
Males,"Electricity, Gas, Water and Waste Services",Thornbury,58
Females,"Electricity, Gas, Water and Waste Services",Thornbury,34
Males,Construction,Thornbury,440
Females,Construction,Thornbury,55
Males,Wholesale Trade,Thornbury,137
Females,Wholesale Trade,Thornbury,91
Males,Retail Trade,Thornbury,368
Females,Retail Trade,Thornbury,500
Males,Accommodation and Food Services,Thornbury,385
Females,Accommodation and Food Services,Thornbury,303
Males,"Transport, Postal and Warehousing",Thornbury,213
Females,"Transport, Postal and Warehousing",Thornbury,84
Males,Information Media and Telecommunications,Thornbury,174
Females,Information Media and Telecommunications,Thornbury,166
Males,Financial and Insurance Services,Thornbury,254
Females,Financial and Insurance Services,Thornbury,189
Males,"Rental, Hiring and Real Estate Services",Thornbury,74
Females,"Rental, Hiring and Real Estate Services",Thornbury,60
Males,"Professional, Scientific and Technical Services",Thornbury,581
Females,"Professional, Scientific and Technical Services",Thornbury,532
Males,Administrative and Support Services,Thornbury,145
Females,Administrative and Support Services,Thornbury,176
Males,Public Administration and Safety,Thornbury,282
Females,Public Administration and Safety,Thornbury,391
Males,Education and Training,Thornbury,411
Females,Education and Training,Thornbury,836
Males,Health Care and Social Assistance,Thornbury,327
Females,Health Care and Social Assistance,Thornbury,1013
Males,Arts and Recreation Services,Thornbury,147
