Sex,Industry of Employment,Region,Value
Males,Public Administration and Safety,Noble Park North,43
Females,Public Administration and Safety,Noble Park North,59
Males,Education and Training,Noble Park North,64
Females,Education and Training,Noble Park North,140
Males,Health Care and Social Assistance,Noble Park North,68
Females,Health Care and Social Assistance,Noble Park North,267
Males,Arts and Recreation Services,Noble Park North,23
Females,Arts and Recreation Services,Noble Park North,13
Males,Other Services,Noble Park North,67
Females,Other Services,Noble Park North,64
Males,Inadequately described and not stated,Noble Park North,154
Females,Inadequately described and not stated,Noble Park North,75
Males,"Agriculture, Forestry and Fishing",Springvale,76
Females,"Agriculture, Forestry and Fishing",Springvale,53
Males,Mining,Springvale,4
Females,Mining,Springvale,7
Males,Manufacturing,Springvale,886
Females,Manufacturing,Springvale,419
Males,"Electricity, Gas, Water and Waste Services",Springvale,34
Females,"Electricity, Gas, Water and Waste Services",Springvale,14
Males,Construction,Springvale,353
Females,Construction,Springvale,43
Males,Wholesale Trade,Springvale,191
Females,Wholesale Trade,Springvale,91
Males,Retail Trade,Springvale,457
Females,Retail Trade,Springvale,444
Males,Accommodation and Food Services,Springvale,431
Females,Accommodation and Food Services,Springvale,360
Males,"Transport, Postal and Warehousing",Springvale,402
Females,"Transport, Postal and Warehousing",Springvale,71
Males,Information Media and Telecommunications,Springvale,72
Females,Information Media and Telecommunications,Springvale,20
Males,Financial and Insurance Services,Springvale,112
Females,Financial and Insurance Services,Springvale,118
Males,"Rental, Hiring and Real Estate Services",Springvale,59
Females,"Rental, Hiring and Real Estate Services",Springvale,35
Males,"Professional, Scientific and Technical Services",Springvale,258
Females,"Professional, Scientific and Technical Services",Springvale,155
Males,Administrative and Support Services,Springvale,218
Females,Administrative and Support Services,Springvale,167
Males,Public Administration and Safety,Springvale,102
Females,Public Administration and Safety,Springvale,78
Males,Education and Training,Springvale,119
Females,Education and Training,Springvale,196
Males,Health Care and Social Assistance,Springvale,185
Females,Health Care and Social Assistance,Springvale,557
Males,Arts and Recreation Services,Springvale,49
Females,Arts and Recreation Services,Springvale,34
Males,Other Services,Springvale,222
Females,Other Services,Springvale,226
Males,Inadequately described and not stated,Springvale,500
Females,Inadequately described and not stated,Springvale,275
Males,"Agriculture, Forestry and Fishing",Springvale South,80
Females,"Agriculture, Forestry and Fishing",Springvale South,62
Males,Mining,Springvale South,4
Females,Mining,Springvale South,0
Males,Manufacturing,Springvale South,651
Females,Manufacturing,Springvale South,348
Males,"Electricity, Gas, Water and Waste Services",Springvale South,34
Females,"Electricity, Gas, Water and Waste Services",Springvale South,12
Males,Construction,Springvale South,239
Females,Construction,Springvale South,30
Males,Wholesale Trade,Springvale South,124
Females,Wholesale Trade,Springvale South,84
Males,Retail Trade,Springvale South,268
Females,Retail Trade,Springvale South,282
Males,Accommodation and Food Services,Springvale South,185
Females,Accommodation and Food Services,Springvale South,182
Males,"Transport, Postal and Warehousing",Springvale South,228
Females,"Transport, Postal and Warehousing",Springvale South,46
Males,Information Media and Telecommunications,Springvale South,38
Females,Information Media and Telecommunications,Springvale South,20
Males,Financial and Insurance Services,Springvale South,62
Females,Financial and Insurance Services,Springvale South,81
Males,"Rental, Hiring and Real Estate Services",Springvale South,36
Females,"Rental, Hiring and Real Estate Services",Springvale South,19
Males,"Professional, Scientific and Technical Services",Springvale South,138
Females,"Professional, Scientific and Technical Services",Springvale South,87
Males,Administrative and Support Services,Springvale South,86
Females,Administrative and Support Services,Springvale South,105
Males,Public Administration and Safety,Springvale South,55
Females,Public Administration and Safety,Springvale South,66
Males,Education and Training,Springvale South,59
Females,Education and Training,Springvale South,125
Males,Health Care and Social Assistance,Springvale South,90
Females,Health Care and Social Assistance,Springvale South,372
Males,Arts and Recreation Services,Springvale South,34
Females,Arts and Recreation Services,Springvale South,15
Males,Other Services,Springvale South,125
Females,Other Services,Springvale South,146
Males,Inadequately described and not stated,Springvale South,299
Females,Inadequately described and not stated,Springvale South,194
Males,"Agriculture, Forestry and Fishing",Noble Park - East,30
Females,"Agriculture, Forestry and Fishing",Noble Park - East,8
Males,Mining,Noble Park - East,4
Females,Mining,Noble Park - East,0
Males,Manufacturing,Noble Park - East,517
Females,Manufacturing,Noble Park - East,188
Males,"Electricity, Gas, Water and Waste Services",Noble Park - East,31
Females,"Electricity, Gas, Water and Waste Services",Noble Park - East,15
Males,Construction,Noble Park - East,278
Females,Construction,Noble Park - East,40
Males,Wholesale Trade,Noble Park - East,145
Females,Wholesale Trade,Noble Park - East,63
Males,Retail Trade,Noble Park - East,318
Females,Retail Trade,Noble Park - East,211
Males,Accommodation and Food Services,Noble Park - East,213
Females,Accommodation and Food Services,Noble Park - East,168
Males,"Transport, Postal and Warehousing",Noble Park - East,307
Females,"Transport, Postal and Warehousing",Noble Park - East,70
Males,Information Media and Telecommunications,Noble Park - East,45
Females,Information Media and Telecommunications,Noble Park - East,19
Males,Financial and Insurance Services,Noble Park - East,80
Females,Financial and Insurance Services,Noble Park - East,97
Males,"Rental, Hiring and Real Estate Services",Noble Park - East,44
Females,"Rental, Hiring and Real Estate Services",Noble Park - East,17
Males,"Professional, Scientific and Technical Services",Noble Park - East,151
Females,"Professional, Scientific and Technical Services",Noble Park - East,113
Males,Administrative and Support Services,Noble Park - East,139
Females,Administrative and Support Services,Noble Park - East,120
Males,Public Administration and Safety,Noble Park - East,113
Females,Public Administration and Safety,Noble Park - East,60
Males,Education and Training,Noble Park - East,110
Females,Education and Training,Noble Park - East,160
Males,Health Care and Social Assistance,Noble Park - East,185
Females,Health Care and Social Assistance,Noble Park - East,560
Males,Arts and Recreation Services,Noble Park - East,33
Females,Arts and Recreation Services,Noble Park - East,13
Males,Other Services,Noble Park - East,147
Females,Other Services,Noble Park - East,107
Males,Inadequately described and not stated,Noble Park - East,271
Females,Inadequately described and not stated,Noble Park - East,142
Males,"Agriculture, Forestry and Fishing",Noble Park - West,81
Females,"Agriculture, Forestry and Fishing",Noble Park - West,71
Males,Mining,Noble Park - West,9
Females,Mining,Noble Park - West,0
Males,Manufacturing,Noble Park - West,805
Females,Manufacturing,Noble Park - West,404
Males,"Electricity, Gas, Water and Waste Services",Noble Park - West,44
Females,"Electricity, Gas, Water and Waste Services",Noble Park - West,24
Males,Construction,Noble Park - West,366
Females,Construction,Noble Park - West,34
Males,Wholesale Trade,Noble Park - West,171
Females,Wholesale Trade,Noble Park - West,104
Males,Retail Trade,Noble Park - West,344
Females,Retail Trade,Noble Park - West,362
Males,Accommodation and Food Services,Noble Park - West,236
Females,Accommodation and Food Services,Noble Park - West,273
Males,"Transport, Postal and Warehousing",Noble Park - West,363
Females,"Transport, Postal and Warehousing",Noble Park - West,41
Males,Information Media and Telecommunications,Noble Park - West,55
Females,Information Media and Telecommunications,Noble Park - West,29
Males,Financial and Insurance Services,Noble Park - West,118
Females,Financial and Insurance Services,Noble Park - West,114
Males,"Rental, Hiring and Real Estate Services",Noble Park - West,35
Females,"Rental, Hiring and Real Estate Services",Noble Park - West,31
Males,"Professional, Scientific and Technical Services",Noble Park - West,183
Females,"Professional, Scientific and Technical Services",Noble Park - West,131
Males,Administrative and Support Services,Noble Park - West,178
Females,Administrative and Support Services,Noble Park - West,145
Males,Public Administration and Safety,Noble Park - West,140
Females,Public Administration and Safety,Noble Park - West,110
Males,Education and Training,Noble Park - West,147
Females,Education and Training,Noble Park - West,211
Males,Health Care and Social Assistance,Noble Park - West,173
Females,Health Care and Social Assistance,Noble Park - West,623
Males,Arts and Recreation Services,Noble Park - West,46
Females,Arts and Recreation Services,Noble Park - West,33
Males,Other Services,Noble Park - West,197
Females,Other Services,Noble Park - West,149
Males,Inadequately described and not stated,Noble Park - West,421
Females,Inadequately described and not stated,Noble Park - West,220
Males,"Agriculture, Forestry and Fishing",Ashwood - Chadstone,10
Females,"Agriculture, Forestry and Fishing",Ashwood - Chadstone,8
Males,Mining,Ashwood - Chadstone,9
Females,Mining,Ashwood - Chadstone,3
Males,Manufacturing,Ashwood - Chadstone,337
Females,Manufacturing,Ashwood - Chadstone,190
Males,"Electricity, Gas, Water and Waste Services",Ashwood - Chadstone,46
Females,"Electricity, Gas, Water and Waste Services",Ashwood - Chadstone,20
Males,Construction,Ashwood - Chadstone,431
Females,Construction,Ashwood - Chadstone,82
Males,Wholesale Trade,Ashwood - Chadstone,203
Females,Wholesale Trade,Ashwood - Chadstone,122
Males,Retail Trade,Ashwood - Chadstone,438
Females,Retail Trade,Ashwood - Chadstone,475
Males,Accommodation and Food Services,Ashwood - Chadstone,316
Females,Accommodation and Food Services,Ashwood - Chadstone,258
Males,"Transport, Postal and Warehousing",Ashwood - Chadstone,231
Females,"Transport, Postal and Warehousing",Ashwood - Chadstone,83
Males,Information Media and Telecommunications,Ashwood - Chadstone,132
Females,Information Media and Telecommunications,Ashwood - Chadstone,85
Males,Financial and Insurance Services,Ashwood - Chadstone,266
Females,Financial and Insurance Services,Ashwood - Chadstone,241
Males,"Rental, Hiring and Real Estate Services",Ashwood - Chadstone,103
Females,"Rental, Hiring and Real Estate Services",Ashwood - Chadstone,90
Males,"Professional, Scientific and Technical Services",Ashwood - Chadstone,568
Females,"Professional, Scientific and Technical Services",Ashwood - Chadstone,412
Males,Administrative and Support Services,Ashwood - Chadstone,178
Females,Administrative and Support Services,Ashwood - Chadstone,143
Males,Public Administration and Safety,Ashwood - Chadstone,178
Females,Public Administration and Safety,Ashwood - Chadstone,188
Males,Education and Training,Ashwood - Chadstone,257
Females,Education and Training,Ashwood - Chadstone,509
Males,Health Care and Social Assistance,Ashwood - Chadstone,235
Females,Health Care and Social Assistance,Ashwood - Chadstone,792
Males,Arts and Recreation Services,Ashwood - Chadstone,110
Females,Arts and Recreation Services,Ashwood - Chadstone,82
Males,Other Services,Ashwood - Chadstone,125
Females,Other Services,Ashwood - Chadstone,128
Males,Inadequately described and not stated,Ashwood - Chadstone,249
Females,Inadequately described and not stated,Ashwood - Chadstone,169
Males,"Agriculture, Forestry and Fishing",Clayton,9
Females,"Agriculture, Forestry and Fishing",Clayton,11
Males,Mining,Clayton,4
Females,Mining,Clayton,4
Males,Manufacturing,Clayton,414
Females,Manufacturing,Clayton,176
Males,"Electricity, Gas, Water and Waste Services",Clayton,33
Females,"Electricity, Gas, Water and Waste Services",Clayton,25
Males,Construction,Clayton,289
Females,Construction,Clayton,53
Males,Wholesale Trade,Clayton,190
Females,Wholesale Trade,Clayton,128
Males,Retail Trade,Clayton,445
Females,Retail Trade,Clayton,414
Males,Accommodation and Food Services,Clayton,435
Females,Accommodation and Food Services,Clayton,378
Males,"Transport, Postal and Warehousing",Clayton,250
Females,"Transport, Postal and Warehousing",Clayton,54
Males,Information Media and Telecommunications,Clayton,116
Females,Information Media and Telecommunications,Clayton,50
Males,Financial and Insurance Services,Clayton,149
Females,Financial and Insurance Services,Clayton,145
Males,"Rental, Hiring and Real Estate Services",Clayton,66
Females,"Rental, Hiring and Real Estate Services",Clayton,53
Males,"Professional, Scientific and Technical Services",Clayton,457
Females,"Professional, Scientific and Technical Services",Clayton,283
Males,Administrative and Support Services,Clayton,196
Females,Administrative and Support Services,Clayton,135
Males,Public Administration and Safety,Clayton,131
Females,Public Administration and Safety,Clayton,88
Males,Education and Training,Clayton,479
Females,Education and Training,Clayton,524
Males,Health Care and Social Assistance,Clayton,287
Females,Health Care and Social Assistance,Clayton,688
Males,Arts and Recreation Services,Clayton,63
Females,Arts and Recreation Services,Clayton,49
Males,Other Services,Clayton,157
Females,Other Services,Clayton,87
Males,Inadequately described and not stated,Clayton,263
Females,Inadequately described and not stated,Clayton,116
Males,"Agriculture, Forestry and Fishing",Glen Waverley - East,21
Females,"Agriculture, Forestry and Fishing",Glen Waverley - East,9
Males,Mining,Glen Waverley - East,14
Females,Mining,Glen Waverley - East,4
Males,Manufacturing,Glen Waverley - East,422
Females,Manufacturing,Glen Waverley - East,195
Males,"Electricity, Gas, Water and Waste Services",Glen Waverley - East,42
Females,"Electricity, Gas, Water and Waste Services",Glen Waverley - East,26
Males,Construction,Glen Waverley - East,344
Females,Construction,Glen Waverley - East,80
Males,Wholesale Trade,Glen Waverley - East,270
Females,Wholesale Trade,Glen Waverley - East,163
Males,Retail Trade,Glen Waverley - East,441
Females,Retail Trade,Glen Waverley - East,455
Males,Accommodation and Food Services,Glen Waverley - East,311
Females,Accommodation and Food Services,Glen Waverley - East,301
Males,"Transport, Postal and Warehousing",Glen Waverley - East,210
Females,"Transport, Postal and Warehousing",Glen Waverley - East,77
Males,Information Media and Telecommunications,Glen Waverley - East,148
Females,Information Media and Telecommunications,Glen Waverley - East,81
Males,Financial and Insurance Services,Glen Waverley - East,255
Females,Financial and Insurance Services,Glen Waverley - East,239
Males,"Rental, Hiring and Real Estate Services",Glen Waverley - East,117
Females,"Rental, Hiring and Real Estate Services",Glen Waverley - East,87
Males,"Professional, Scientific and Technical Services",Glen Waverley - East,716
Females,"Professional, Scientific and Technical Services",Glen Waverley - East,406
Males,Administrative and Support Services,Glen Waverley - East,165
Females,Administrative and Support Services,Glen Waverley - East,119
Males,Public Administration and Safety,Glen Waverley - East,203
Females,Public Administration and Safety,Glen Waverley - East,171
Males,Education and Training,Glen Waverley - East,302
Females,Education and Training,Glen Waverley - East,567
Males,Health Care and Social Assistance,Glen Waverley - East,317
Females,Health Care and Social Assistance,Glen Waverley - East,804
Males,Arts and Recreation Services,Glen Waverley - East,76
Females,Arts and Recreation Services,Glen Waverley - East,48
Males,Other Services,Glen Waverley - East,134
Females,Other Services,Glen Waverley - East,108
Males,Inadequately described and not stated,Glen Waverley - East,292
Females,Inadequately described and not stated,Glen Waverley - East,193
Males,"Agriculture, Forestry and Fishing",Glen Waverley - West,11
Females,"Agriculture, Forestry and Fishing",Glen Waverley - West,6
Males,Mining,Glen Waverley - West,9
Females,Mining,Glen Waverley - West,7
Males,Manufacturing,Glen Waverley - West,400
Females,Manufacturing,Glen Waverley - West,179
Males,"Electricity, Gas, Water and Waste Services",Glen Waverley - West,58
Females,"Electricity, Gas, Water and Waste Services",Glen Waverley - West,25
Males,Construction,Glen Waverley - West,312
Females,Construction,Glen Waverley - West,69
Males,Wholesale Trade,Glen Waverley - West,248
Females,Wholesale Trade,Glen Waverley - West,173
Males,Retail Trade,Glen Waverley - West,466
Females,Retail Trade,Glen Waverley - West,476
Males,Accommodation and Food Services,Glen Waverley - West,387
Females,Accommodation and Food Services,Glen Waverley - West,321
Males,"Transport, Postal and Warehousing",Glen Waverley - West,208
Females,"Transport, Postal and Warehousing",Glen Waverley - West,83
Males,Information Media and Telecommunications,Glen Waverley - West,162
Females,Information Media and Telecommunications,Glen Waverley - West,65
Males,Financial and Insurance Services,Glen Waverley - West,229
Females,Financial and Insurance Services,Glen Waverley - West,199
Males,"Rental, Hiring and Real Estate Services",Glen Waverley - West,79
Females,"Rental, Hiring and Real Estate Services",Glen Waverley - West,77
Males,"Professional, Scientific and Technical Services",Glen Waverley - West,597
Females,"Professional, Scientific and Technical Services",Glen Waverley - West,404
Males,Administrative and Support Services,Glen Waverley - West,168
Females,Administrative and Support Services,Glen Waverley - West,125
Males,Public Administration and Safety,Glen Waverley - West,155
Females,Public Administration and Safety,Glen Waverley - West,124
Males,Education and Training,Glen Waverley - West,261
Females,Education and Training,Glen Waverley - West,466
Males,Health Care and Social Assistance,Glen Waverley - West,277
Females,Health Care and Social Assistance,Glen Waverley - West,759
Males,Arts and Recreation Services,Glen Waverley - West,60
Females,Arts and Recreation Services,Glen Waverley - West,45
Males,Other Services,Glen Waverley - West,148
Females,Other Services,Glen Waverley - West,114
Males,Inadequately described and not stated,Glen Waverley - West,244
Females,Inadequately described and not stated,Glen Waverley - West,189
Males,"Agriculture, Forestry and Fishing",Mount Waverley - North,18
Females,"Agriculture, Forestry and Fishing",Mount Waverley - North,7
Males,Mining,Mount Waverley - North,7
Females,Mining,Mount Waverley - North,3
Males,Manufacturing,Mount Waverley - North,264
Females,Manufacturing,Mount Waverley - North,138
Males,"Electricity, Gas, Water and Waste Services",Mount Waverley - North,49
Females,"Electricity, Gas, Water and Waste Services",Mount Waverley - North,32
Males,Construction,Mount Waverley - North,339
Females,Construction,Mount Waverley - North,56
Males,Wholesale Trade,Mount Waverley - North,171
Females,Wholesale Trade,Mount Waverley - North,98
Males,Retail Trade,Mount Waverley - North,369
Females,Retail Trade,Mount Waverley - North,380
Males,Accommodation and Food Services,Mount Waverley - North,195
Females,Accommodation and Food Services,Mount Waverley - North,197
Males,"Transport, Postal and Warehousing",Mount Waverley - North,152
Females,"Transport, Postal and Warehousing",Mount Waverley - North,56
Males,Information Media and Telecommunications,Mount Waverley - North,126
Females,Information Media and Telecommunications,Mount Waverley - North,57
Males,Financial and Insurance Services,Mount Waverley - North,186
Females,Financial and Insurance Services,Mount Waverley - North,182
Males,"Rental, Hiring and Real Estate Services",Mount Waverley - North,76
Females,"Rental, Hiring and Real Estate Services",Mount Waverley - North,68
Males,"Professional, Scientific and Technical Services",Mount Waverley - North,520
Females,"Professional, Scientific and Technical Services",Mount Waverley - North,344
Males,Administrative and Support Services,Mount Waverley - North,134
Females,Administrative and Support Services,Mount Waverley - North,136
Males,Public Administration and Safety,Mount Waverley - North,150
Females,Public Administration and Safety,Mount Waverley - North,139
Males,Education and Training,Mount Waverley - North,246
Females,Education and Training,Mount Waverley - North,493
Males,Health Care and Social Assistance,Mount Waverley - North,210
Females,Health Care and Social Assistance,Mount Waverley - North,638
Males,Arts and Recreation Services,Mount Waverley - North,62
Females,Arts and Recreation Services,Mount Waverley - North,62
Males,Other Services,Mount Waverley - North,125
Females,Other Services,Mount Waverley - North,90
Males,Inadequately described and not stated,Mount Waverley - North,175
Females,Inadequately described and not stated,Mount Waverley - North,142
Males,"Agriculture, Forestry and Fishing",Mount Waverley - South,15
Females,"Agriculture, Forestry and Fishing",Mount Waverley - South,8
Males,Mining,Mount Waverley - South,8
Females,Mining,Mount Waverley - South,3
Males,Manufacturing,Mount Waverley - South,375
Females,Manufacturing,Mount Waverley - South,189
Males,"Electricity, Gas, Water and Waste Services",Mount Waverley - South,62
Females,"Electricity, Gas, Water and Waste Services",Mount Waverley - South,25
Males,Construction,Mount Waverley - South,441
Females,Construction,Mount Waverley - South,77
Males,Wholesale Trade,Mount Waverley - South,202
Females,Wholesale Trade,Mount Waverley - South,137
Males,Retail Trade,Mount Waverley - South,407
Females,Retail Trade,Mount Waverley - South,434
Males,Accommodation and Food Services,Mount Waverley - South,253
Females,Accommodation and Food Services,Mount Waverley - South,221
Males,"Transport, Postal and Warehousing",Mount Waverley - South,208
Females,"Transport, Postal and Warehousing",Mount Waverley - South,75
Males,Information Media and Telecommunications,Mount Waverley - South,148
Females,Information Media and Telecommunications,Mount Waverley - South,71
Males,Financial and Insurance Services,Mount Waverley - South,246
Females,Financial and Insurance Services,Mount Waverley - South,215
Males,"Rental, Hiring and Real Estate Services",Mount Waverley - South,85
Females,"Rental, Hiring and Real Estate Services",Mount Waverley - South,71
Males,"Professional, Scientific and Technical Services",Mount Waverley - South,589
Females,"Professional, Scientific and Technical Services",Mount Waverley - South,363
Males,Administrative and Support Services,Mount Waverley - South,177
Females,Administrative and Support Services,Mount Waverley - South,127
Males,Public Administration and Safety,Mount Waverley - South,167
Females,Public Administration and Safety,Mount Waverley - South,165
Males,Education and Training,Mount Waverley - South,292
Females,Education and Training,Mount Waverley - South,598
Males,Health Care and Social Assistance,Mount Waverley - South,239
Females,Health Care and Social Assistance,Mount Waverley - South,758
Males,Arts and Recreation Services,Mount Waverley - South,90
Females,Arts and Recreation Services,Mount Waverley - South,72
Males,Other Services,Mount Waverley - South,143
Females,Other Services,Mount Waverley - South,134
Males,Inadequately described and not stated,Mount Waverley - South,255
Females,Inadequately described and not stated,Mount Waverley - South,160
Males,"Agriculture, Forestry and Fishing",Mulgrave,8
Females,"Agriculture, Forestry and Fishing",Mulgrave,3
Males,Mining,Mulgrave,3
Females,Mining,Mulgrave,0
Males,Manufacturing,Mulgrave,556
Females,Manufacturing,Mulgrave,280
Males,"Electricity, Gas, Water and Waste Services",Mulgrave,49
Females,"Electricity, Gas, Water and Waste Services",Mulgrave,21
Males,Construction,Mulgrave,509
Females,Construction,Mulgrave,91
Males,Wholesale Trade,Mulgrave,241
Females,Wholesale Trade,Mulgrave,163
Males,Retail Trade,Mulgrave,446
Females,Retail Trade,Mulgrave,551
Males,Accommodation and Food Services,Mulgrave,267
Females,Accommodation and Food Services,Mulgrave,225
Males,"Transport, Postal and Warehousing",Mulgrave,307
Females,"Transport, Postal and Warehousing",Mulgrave,105
Males,Information Media and Telecommunications,Mulgrave,122
Females,Information Media and Telecommunications,Mulgrave,48
Males,Financial and Insurance Services,Mulgrave,246
Females,Financial and Insurance Services,Mulgrave,220
Males,"Rental, Hiring and Real Estate Services",Mulgrave,79
Females,"Rental, Hiring and Real Estate Services",Mulgrave,71
Males,"Professional, Scientific and Technical Services",Mulgrave,488
Females,"Professional, Scientific and Technical Services",Mulgrave,339
Males,Administrative and Support Services,Mulgrave,195
Females,Administrative and Support Services,Mulgrave,164
Males,Public Administration and Safety,Mulgrave,194
Females,Public Administration and Safety,Mulgrave,164
Males,Education and Training,Mulgrave,224
Females,Education and Training,Mulgrave,500
Males,Health Care and Social Assistance,Mulgrave,245
Females,Health Care and Social Assistance,Mulgrave,760
Males,Arts and Recreation Services,Mulgrave,80
Females,Arts and Recreation Services,Mulgrave,50
Males,Other Services,Mulgrave,182
Females,Other Services,Mulgrave,140
Males,Inadequately described and not stated,Mulgrave,302
Females,Inadequately described and not stated,Mulgrave,168
Males,"Agriculture, Forestry and Fishing",Oakleigh - Huntingdale,8
Females,"Agriculture, Forestry and Fishing",Oakleigh - Huntingdale,6
Males,Mining,Oakleigh - Huntingdale,4
Females,Mining,Oakleigh - Huntingdale,3
Males,Manufacturing,Oakleigh - Huntingdale,490
Females,Manufacturing,Oakleigh - Huntingdale,234
Males,"Electricity, Gas, Water and Waste Services",Oakleigh - Huntingdale,80
Females,"Electricity, Gas, Water and Waste Services",Oakleigh - Huntingdale,27
Males,Construction,Oakleigh - Huntingdale,598
Females,Construction,Oakleigh - Huntingdale,82
Males,Wholesale Trade,Oakleigh - Huntingdale,219
Females,Wholesale Trade,Oakleigh - Huntingdale,161
Males,Retail Trade,Oakleigh - Huntingdale,512
Females,Retail Trade,Oakleigh - Huntingdale,562
Males,Accommodation and Food Services,Oakleigh - Huntingdale,382
Females,Accommodation and Food Services,Oakleigh - Huntingdale,303
Males,"Transport, Postal and Warehousing",Oakleigh - Huntingdale,296
Females,"Transport, Postal and Warehousing",Oakleigh - Huntingdale,91
Males,Information Media and Telecommunications,Oakleigh - Huntingdale,149
Females,Information Media and Telecommunications,Oakleigh - Huntingdale,100
Males,Financial and Insurance Services,Oakleigh - Huntingdale,264
Females,Financial and Insurance Services,Oakleigh - Huntingdale,255
Males,"Rental, Hiring and Real Estate Services",Oakleigh - Huntingdale,68
Females,"Rental, Hiring and Real Estate Services",Oakleigh - Huntingdale,67
Males,"Professional, Scientific and Technical Services",Oakleigh - Huntingdale,580
Females,"Professional, Scientific and Technical Services",Oakleigh - Huntingdale,443
Males,Administrative and Support Services,Oakleigh - Huntingdale,216
Females,Administrative and Support Services,Oakleigh - Huntingdale,191
Males,Public Administration and Safety,Oakleigh - Huntingdale,215
Females,Public Administration and Safety,Oakleigh - Huntingdale,199
Males,Education and Training,Oakleigh - Huntingdale,335
Females,Education and Training,Oakleigh - Huntingdale,682
Males,Health Care and Social Assistance,Oakleigh - Huntingdale,296
Females,Health Care and Social Assistance,Oakleigh - Huntingdale,923
Males,Arts and Recreation Services,Oakleigh - Huntingdale,118
Females,Arts and Recreation Services,Oakleigh - Huntingdale,80
Males,Other Services,Oakleigh - Huntingdale,202
Females,Other Services,Oakleigh - Huntingdale,151
Males,Inadequately described and not stated,Oakleigh - Huntingdale,300
Females,Inadequately described and not stated,Oakleigh - Huntingdale,159
Males,"Agriculture, Forestry and Fishing",Wheelers Hill,12
Females,"Agriculture, Forestry and Fishing",Wheelers Hill,9
Males,Mining,Wheelers Hill,13
Females,Mining,Wheelers Hill,0
Males,Manufacturing,Wheelers Hill,444
Females,Manufacturing,Wheelers Hill,231
Males,"Electricity, Gas, Water and Waste Services",Wheelers Hill,64
Females,"Electricity, Gas, Water and Waste Services",Wheelers Hill,12
Males,Construction,Wheelers Hill,464
Females,Construction,Wheelers Hill,86
Males,Wholesale Trade,Wheelers Hill,261
Females,Wholesale Trade,Wheelers Hill,176
Males,Retail Trade,Wheelers Hill,444
Females,Retail Trade,Wheelers Hill,515
Males,Accommodation and Food Services,Wheelers Hill,268
Females,Accommodation and Food Services,Wheelers Hill,235
Males,"Transport, Postal and Warehousing",Wheelers Hill,210
Females,"Transport, Postal and Warehousing",Wheelers Hill,81
Males,Information Media and Telecommunications,Wheelers Hill,156
Females,Information Media and Telecommunications,Wheelers Hill,69
Males,Financial and Insurance Services,Wheelers Hill,290
Females,Financial and Insurance Services,Wheelers Hill,206
Males,"Rental, Hiring and Real Estate Services",Wheelers Hill,86
Females,"Rental, Hiring and Real Estate Services",Wheelers Hill,92
Males,"Professional, Scientific and Technical Services",Wheelers Hill,518
Females,"Professional, Scientific and Technical Services",Wheelers Hill,401
Males,Administrative and Support Services,Wheelers Hill,157
Females,Administrative and Support Services,Wheelers Hill,150
Males,Public Administration and Safety,Wheelers Hill,187
Females,Public Administration and Safety,Wheelers Hill,180
Males,Education and Training,Wheelers Hill,276
Females,Education and Training,Wheelers Hill,586
Males,Health Care and Social Assistance,Wheelers Hill,275
Females,Health Care and Social Assistance,Wheelers Hill,781
Males,Arts and Recreation Services,Wheelers Hill,70
Females,Arts and Recreation Services,Wheelers Hill,56
Males,Other Services,Wheelers Hill,157
Females,Other Services,Wheelers Hill,148
Males,Inadequately described and not stated,Wheelers Hill,250
Females,Inadequately described and not stated,Wheelers Hill,179
Males,"Agriculture, Forestry and Fishing",Ardeer - Albion,4
Females,"Agriculture, Forestry and Fishing",Ardeer - Albion,6
Males,Mining,Ardeer - Albion,10
Females,Mining,Ardeer - Albion,0
Males,Manufacturing,Ardeer - Albion,224
Females,Manufacturing,Ardeer - Albion,73
Males,"Electricity, Gas, Water and Waste Services",Ardeer - Albion,24
Females,"Electricity, Gas, Water and Waste Services",Ardeer - Albion,10
Males,Construction,Ardeer - Albion,216
Females,Construction,Ardeer - Albion,19
Males,Wholesale Trade,Ardeer - Albion,62
Females,Wholesale Trade,Ardeer - Albion,37
Males,Retail Trade,Ardeer - Albion,164
Females,Retail Trade,Ardeer - Albion,122
Males,Accommodation and Food Services,Ardeer - Albion,186
Females,Accommodation and Food Services,Ardeer - Albion,114
Males,"Transport, Postal and Warehousing",Ardeer - Albion,213
Females,"Transport, Postal and Warehousing",Ardeer - Albion,44
Males,Information Media and Telecommunications,Ardeer - Albion,35
Females,Information Media and Telecommunications,Ardeer - Albion,20
Males,Financial and Insurance Services,Ardeer - Albion,52
Females,Financial and Insurance Services,Ardeer - Albion,54
Males,"Rental, Hiring and Real Estate Services",Ardeer - Albion,19
Females,"Rental, Hiring and Real Estate Services",Ardeer - Albion,21
Males,"Professional, Scientific and Technical Services",Ardeer - Albion,101
Females,"Professional, Scientific and Technical Services",Ardeer - Albion,70
Males,Administrative and Support Services,Ardeer - Albion,104
Females,Administrative and Support Services,Ardeer - Albion,76
Males,Public Administration and Safety,Ardeer - Albion,95
Females,Public Administration and Safety,Ardeer - Albion,55
Males,Education and Training,Ardeer - Albion,63
Females,Education and Training,Ardeer - Albion,151
Males,Health Care and Social Assistance,Ardeer - Albion,74
Females,Health Care and Social Assistance,Ardeer - Albion,286
Males,Arts and Recreation Services,Ardeer - Albion,46
Females,Arts and Recreation Services,Ardeer - Albion,34
Males,Other Services,Ardeer - Albion,78
Females,Other Services,Ardeer - Albion,47
