Sex,Age,Region,Value
Females,65 - 69,Delahey,172
Males,65 - 69,Keilor Downs,414
Females,65 - 69,Keilor Downs,383
Males,65 - 69,Kings Park (Vic.),447
Females,65 - 69,Kings Park (Vic.),468
Males,65 - 69,St Albans - North,483
Females,65 - 69,St Albans - North,530
Males,65 - 69,St Albans - South,428
Females,65 - 69,St Albans - South,412
Males,65 - 69,Sunshine,160
Females,65 - 69,Sunshine,147
Males,65 - 69,Sunshine North,216
Females,65 - 69,Sunshine North,236
Males,65 - 69,Sunshine West,464
Females,65 - 69,Sunshine West,495
Males,65 - 69,Sydenham,186
Females,65 - 69,Sydenham,195
Males,65 - 69,Taylors Lakes,452
Females,65 - 69,Taylors Lakes,402
Males,65 - 69,Altona,311
Females,65 - 69,Altona,369
Males,65 - 69,Altona Meadows,476
Females,65 - 69,Altona Meadows,515
Males,65 - 69,Altona North,236
Females,65 - 69,Altona North,307
Males,65 - 69,Newport,261
Females,65 - 69,Newport,291
Males,65 - 69,Seabrook,85
Females,65 - 69,Seabrook,80
Males,65 - 69,Williamstown,423
Females,65 - 69,Williamstown,414
Males,65 - 69,Braybrook,281
Females,65 - 69,Braybrook,305
Males,65 - 69,Footscray,236
Females,65 - 69,Footscray,218
Males,65 - 69,Maribyrnong,201
Females,65 - 69,Maribyrnong,190
Males,65 - 69,Seddon - Kingsville,117
Females,65 - 69,Seddon - Kingsville,126
Males,65 - 69,West Footscray - Tottenham,169
Females,65 - 69,West Footscray - Tottenham,157
Males,65 - 69,Yarraville,176
Females,65 - 69,Yarraville,228
Males,65 - 69,Bacchus Marsh,549
Females,65 - 69,Bacchus Marsh,554
Males,65 - 69,Hillside,276
Females,65 - 69,Hillside,269
Males,65 - 69,Melton,529
Females,65 - 69,Melton,535
Males,65 - 69,Melton South,531
Females,65 - 69,Melton South,541
Males,65 - 69,Melton West,331
Females,65 - 69,Melton West,324
Males,65 - 69,Rockbank - Mount Cottrell,77
Females,65 - 69,Rockbank - Mount Cottrell,55
Males,65 - 69,Taylors Hill,184
Females,65 - 69,Taylors Hill,238
Males,65 - 69,Burnside,86
Females,65 - 69,Burnside,100
Males,65 - 69,Burnside Heights,66
Females,65 - 69,Burnside Heights,52
Males,65 - 69,Caroline Springs,232
Females,65 - 69,Caroline Springs,262
Males,65 - 69,Hoppers Crossing - North,383
Females,65 - 69,Hoppers Crossing - North,393
Males,65 - 69,Hoppers Crossing - South,504
Females,65 - 69,Hoppers Crossing - South,605
Males,65 - 69,Laverton,113
Females,65 - 69,Laverton,117
Males,65 - 69,Tarneit,284
Females,65 - 69,Tarneit,334
Males,65 - 69,Truganina,146
Females,65 - 69,Truganina,146
Males,65 - 69,Werribee - South,309
Females,65 - 69,Werribee - South,283
Males,65 - 69,Wyndham Vale,294
Females,65 - 69,Wyndham Vale,331
Males,65 - 69,Point Cook - East,149
Females,65 - 69,Point Cook - East,127
Males,65 - 69,Point Cook - North,252
Females,65 - 69,Point Cook - North,266
Males,65 - 69,Point Cook - South,109
Females,65 - 69,Point Cook - South,121
Males,65 - 69,Werribee - East,405
Females,65 - 69,Werribee - East,410
Males,65 - 69,Werribee - West,259
Females,65 - 69,Werribee - West,274
Males,65 - 69,Carrum Downs,395
Females,65 - 69,Carrum Downs,438
Males,65 - 69,Frankston,591
Females,65 - 69,Frankston,653
Males,65 - 69,Frankston North,509
Females,65 - 69,Frankston North,562
Males,65 - 69,Frankston South,485
Females,65 - 69,Frankston South,527
Males,65 - 69,Langwarrin,561
Females,65 - 69,Langwarrin,570
Males,65 - 69,Seaford (Vic.),407
Females,65 - 69,Seaford (Vic.),515
Males,65 - 69,Skye - Sandhurst,226
Females,65 - 69,Skye - Sandhurst,245
Males,65 - 69,Dromana,480
Females,65 - 69,Dromana,513
Males,65 - 69,Flinders,254
Females,65 - 69,Flinders,255
Males,65 - 69,Hastings - Somers,646
Females,65 - 69,Hastings - Somers,744
Males,65 - 69,Mornington,781
Females,65 - 69,Mornington,1059
Males,65 - 69,Mount Eliza,524
Females,65 - 69,Mount Eliza,589
Males,65 - 69,Mount Martha,485
Females,65 - 69,Mount Martha,632
Males,65 - 69,Point Nepean,814
Females,65 - 69,Point Nepean,879
Males,65 - 69,Rosebud - McCrae,757
Females,65 - 69,Rosebud - McCrae,916
Males,65 - 69,Somerville,493
Females,65 - 69,Somerville,501
Males,65 - 69,Ballarat,2627
Females,65 - 69,Ballarat,3004
Males,65 - 69,Alfredton,231
Females,65 - 69,Alfredton,262
Males,65 - 69,Ballarat,309
Females,65 - 69,Ballarat,384
Males,65 - 69,Ballarat - North,625
Females,65 - 69,Ballarat - North,699
Males,65 - 69,Ballarat - South,577
Females,65 - 69,Ballarat - South,714
Males,65 - 69,Buninyong,228
Females,65 - 69,Buninyong,217
Males,65 - 69,Delacombe,191
Females,65 - 69,Delacombe,203
Males,65 - 69,Smythes Creek,124
Females,65 - 69,Smythes Creek,95
Males,65 - 69,Wendouree - Miners Rest,348
Females,65 - 69,Wendouree - Miners Rest,439
Males,65 - 69,Creswick - Daylesford - Ballan,1122
Females,65 - 69,Creswick - Daylesford - Ballan,1085
Males,65 - 69,Bacchus Marsh Region,189
Females,65 - 69,Bacchus Marsh Region,188
Males,65 - 69,Creswick - Clunes,311
Females,65 - 69,Creswick - Clunes,290
Males,65 - 69,Daylesford,410
Females,65 - 69,Daylesford,440
Males,65 - 69,Gordon (Vic.),205
Females,65 - 69,Gordon (Vic.),168
Males,65 - 69,Maryborough - Pyrenees,1136
Females,65 - 69,Maryborough - Pyrenees,1034
Males,65 - 69,Avoca,166
Females,65 - 69,Avoca,151
Males,65 - 69,Beaufort,234
Females,65 - 69,Beaufort,160
Males,65 - 69,Golden Plains - North,175
Females,65 - 69,Golden Plains - North,147
Males,65 - 69,Maryborough (Vic.),309
Females,65 - 69,Maryborough (Vic.),349
Males,65 - 69,Maryborough Region,254
Females,65 - 69,Maryborough Region,235
Males,65 - 69,Bendigo,2438
Females,65 - 69,Bendigo,2690
Males,65 - 69,Bendigo,376
Females,65 - 69,Bendigo,438
Males,65 - 69,California Gully - Eaglehawk,339
Females,65 - 69,California Gully - Eaglehawk,352
Males,65 - 69,East Bendigo - Kennington,423
Females,65 - 69,East Bendigo - Kennington,450
Males,65 - 69,Flora Hill - Spring Gully,207
Females,65 - 69,Flora Hill - Spring Gully,239
Males,65 - 69,Kangaroo Flat - Golden Square,518
Females,65 - 69,Kangaroo Flat - Golden Square,641
Males,65 - 69,Maiden Gully,124
Females,65 - 69,Maiden Gully,97
Males,65 - 69,Strathfieldsaye,216
Females,65 - 69,Strathfieldsaye,219
Males,65 - 69,White Hills - Ascot,234
Females,65 - 69,White Hills - Ascot,261
Males,65 - 69,Heathcote - Castlemaine - Kyneton,1728
Females,65 - 69,Heathcote - Castlemaine - Kyneton,1792
Males,65 - 69,Bendigo Region - South,220
Females,65 - 69,Bendigo Region - South,200
Males,65 - 69,Castlemaine,346
Females,65 - 69,Castlemaine,425
Males,65 - 69,Castlemaine Region,407
Females,65 - 69,Castlemaine Region,379
Males,65 - 69,Heathcote,211
Females,65 - 69,Heathcote,197
Males,65 - 69,Kyneton,340
Females,65 - 69,Kyneton,348
Males,65 - 69,Woodend,202
Females,65 - 69,Woodend,246
Males,65 - 69,Loddon - Elmore,522
Females,65 - 69,Loddon - Elmore,418
Males,65 - 69,Bendigo Region - North,180
Females,65 - 69,Bendigo Region - North,135
Males,65 - 69,Loddon,350
Females,65 - 69,Loddon,277
Males,65 - 69,Barwon - West,546
Females,65 - 69,Barwon - West,523
Males,65 - 69,Bannockburn,133
Females,65 - 69,Bannockburn,128
Males,65 - 69,Golden Plains - South,214
Females,65 - 69,Golden Plains - South,200
Males,65 - 69,Winchelsea,197
Females,65 - 69,Winchelsea,190
Males,65 - 69,Geelong,4692
Females,65 - 69,Geelong,5289
Males,65 - 69,Belmont,347
Females,65 - 69,Belmont,400
Males,65 - 69,Corio - Norlane,614
Females,65 - 69,Corio - Norlane,728
Males,65 - 69,Geelong,338
Females,65 - 69,Geelong,361
Males,65 - 69,Geelong West - Hamlyn Heights,443
Females,65 - 69,Geelong West - Hamlyn Heights,451
Males,65 - 69,Grovedale,535
Females,65 - 69,Grovedale,643
Males,65 - 69,Highton,539
Females,65 - 69,Highton,584
Males,65 - 69,Lara,448
Females,65 - 69,Lara,435
Males,65 - 69,Leopold,357
Females,65 - 69,Leopold,416
Males,65 - 69,Newcomb - Moolap,409
Females,65 - 69,Newcomb - Moolap,497
Males,65 - 69,Newtown (Vic.),234
Females,65 - 69,Newtown (Vic.),255
Males,65 - 69,North Geelong - Bell Park,429
Females,65 - 69,North Geelong - Bell Park,522
Males,65 - 69,Surf Coast - Bellarine Peninsula,2510
Females,65 - 69,Surf Coast - Bellarine Peninsula,2759
Males,65 - 69,Clifton Springs,429
Females,65 - 69,Clifton Springs,512
Males,65 - 69,Lorne - Anglesea,225
Females,65 - 69,Lorne - Anglesea,232
Males,65 - 69,Ocean Grove - Barwon Heads,735
Females,65 - 69,Ocean Grove - Barwon Heads,761
Males,65 - 69,Portarlington,415
Females,65 - 69,Portarlington,482
Males,65 - 69,Point Lonsdale - Queenscliff,211
Females,65 - 69,Point Lonsdale - Queenscliff,248
Males,65 - 69,Torquay,509
Females,65 - 69,Torquay,525
Males,65 - 69,Upper Goulburn Valley,2137
Females,65 - 69,Upper Goulburn Valley,2011
Males,65 - 69,Alexandra,341
Females,65 - 69,Alexandra,333
Males,65 - 69,Euroa,315
Females,65 - 69,Euroa,276
Males,65 - 69,Kilmore - Broadford,383
Females,65 - 69,Kilmore - Broadford,397
Males,65 - 69,Mansfield (Vic.),391
Females,65 - 69,Mansfield (Vic.),377
Males,65 - 69,Nagambie,185
Females,65 - 69,Nagambie,155
Males,65 - 69,Seymour,214
Females,65 - 69,Seymour,214
Males,65 - 69,Seymour Region,135
Females,65 - 69,Seymour Region,115
Males,65 - 69,Upper Yarra Valley,3
Females,65 - 69,Upper Yarra Valley,10
Males,65 - 69,Yea,176
Females,65 - 69,Yea,150
Males,65 - 69,Wangaratta - Benalla,1653
Females,65 - 69,Wangaratta - Benalla,1689
Males,65 - 69,Benalla,383
Females,65 - 69,Benalla,444
Males,65 - 69,Benalla Region,195
Females,65 - 69,Benalla Region,140
Males,65 - 69,Rutherglen,145
Females,65 - 69,Rutherglen,160
Males,65 - 69,Wangaratta,506
Females,65 - 69,Wangaratta,606
Males,65 - 69,Wangaratta Region,427
Females,65 - 69,Wangaratta Region,340
Males,65 - 69,Beechworth,197
Females,65 - 69,Beechworth,201
Males,65 - 69,Bright - Mount Beauty,342
Females,65 - 69,Bright - Mount Beauty,332
Males,65 - 69,Chiltern - Indigo Valley,106
Females,65 - 69,Chiltern - Indigo Valley,94
Males,65 - 69,Myrtleford,162
Females,65 - 69,Myrtleford,148
Males,65 - 69,Towong,280
Females,65 - 69,Towong,219
Males,65 - 69,West Wodonga,389
Females,65 - 69,West Wodonga,389
Males,65 - 69,Wodonga,557
Females,65 - 69,Wodonga,637
Males,65 - 69,Yackandandah,164
Females,65 - 69,Yackandandah,170
Males,65 - 69,Drouin,476
Females,65 - 69,Drouin,536
Males,65 - 69,Mount Baw Baw Region,232
Females,65 - 69,Mount Baw Baw Region,224
Males,65 - 69,Trafalgar (Vic.),270
Females,65 - 69,Trafalgar (Vic.),256
Males,65 - 69,Warragul,566
Females,65 - 69,Warragul,645
Males,65 - 69,Alps - East,0
Females,65 - 69,Alps - East,0
Males,65 - 69,Bairnsdale,498
Females,65 - 69,Bairnsdale,534
Males,65 - 69,Bruthen - Omeo,383
Females,65 - 69,Bruthen - Omeo,289
Males,65 - 69,Lake King,0
Females,65 - 69,Lake King,0
Males,65 - 69,Lakes Entrance,559
Females,65 - 69,Lakes Entrance,523
Males,65 - 69,Orbost,369
Females,65 - 69,Orbost,272
Males,65 - 69,Paynesville,380
Females,65 - 69,Paynesville,406
Males,65 - 69,Foster,415
Females,65 - 69,Foster,458
Males,65 - 69,French Island,8
Females,65 - 69,French Island,5
Males,65 - 69,Korumburra,360
Females,65 - 69,Korumburra,315
Males,65 - 69,Leongatha,399
Females,65 - 69,Leongatha,423
Males,65 - 69,Phillip Island,477
Females,65 - 69,Phillip Island,501
Males,65 - 69,Wilsons Promontory,0
Females,65 - 69,Wilsons Promontory,0
Males,65 - 69,Wonthaggi - Inverloch,944
Females,65 - 69,Wonthaggi - Inverloch,1020
Males,65 - 69,Churchill,405
Females,65 - 69,Churchill,360
Males,65 - 69,Moe - Newborough,524
Females,65 - 69,Moe - Newborough,590
Males,65 - 69,Morwell,430
Females,65 - 69,Morwell,417
Males,65 - 69,Traralgon,672
Females,65 - 69,Traralgon,756
Males,65 - 69,Yallourn North - Glengarry,131
Females,65 - 69,Yallourn North - Glengarry,122
Males,65 - 69,Alps - West,0
Females,65 - 69,Alps - West,0
Males,65 - 69,Longford - Loch Sport,242
Females,65 - 69,Longford - Loch Sport,208
Males,65 - 69,Maffra,509
Females,65 - 69,Maffra,466
Males,65 - 69,Rosedale,142
Females,65 - 69,Rosedale,120
Males,65 - 69,Sale,398
Females,65 - 69,Sale,423
Males,65 - 69,Yarram,275
Females,65 - 69,Yarram,236
Males,65 - 69,Ararat,289
Females,65 - 69,Ararat,254
Males,65 - 69,Ararat Region,140
Females,65 - 69,Ararat Region,115
Males,65 - 69,Horsham,445
Females,65 - 69,Horsham,471
Males,65 - 69,Horsham Region,117
Females,65 - 69,Horsham Region,103
Males,65 - 69,Nhill Region,264
Females,65 - 69,Nhill Region,226
Males,65 - 69,St Arnaud,166
Females,65 - 69,St Arnaud,144
Males,65 - 69,Stawell,312
Females,65 - 69,Stawell,288
Males,65 - 69,West Wimmera,113
Females,65 - 69,West Wimmera,103
Males,65 - 69,Yarriambiack,253
Females,65 - 69,Yarriambiack,249
Males,65 - 69,Irymple,204
Females,65 - 69,Irymple,176
Males,65 - 69,Merbein,154
Females,65 - 69,Merbein,142
Males,65 - 69,Mildura Region,144
Females,65 - 69,Mildura Region,119
Males,65 - 69,Red Cliffs,181
Females,65 - 69,Red Cliffs,167
Males,65 - 69,Mildura - North,501
Females,65 - 69,Mildura - North,530
Males,65 - 69,Mildura - South,389
Females,65 - 69,Mildura - South,476
Males,65 - 69,Buloke,265
Females,65 - 69,Buloke,222
Males,65 - 69,Gannawarra,300
Females,65 - 69,Gannawarra,270
Males,65 - 69,Kerang,132
Females,65 - 69,Kerang,144
Males,65 - 69,Robinvale,90
Females,65 - 69,Robinvale,87
Males,65 - 69,Swan Hill,286
Females,65 - 69,Swan Hill,298
Males,65 - 69,Swan Hill Region,216
Females,65 - 69,Swan Hill Region,192
Males,65 - 69,Echuca,443
Females,65 - 69,Echuca,482
Males,65 - 69,Kyabram,372
Females,65 - 69,Kyabram,368
Males,65 - 69,Lockington - Gunbower,109
Females,65 - 69,Lockington - Gunbower,94
Males,65 - 69,Rochester,144
Females,65 - 69,Rochester,132
Males,65 - 69,Rushworth,173
Females,65 - 69,Rushworth,155
Males,65 - 69,Cobram,233
Females,65 - 69,Cobram,277
Males,65 - 69,Moira,118
Females,65 - 69,Moira,95
Males,65 - 69,Numurkah,439
Females,65 - 69,Numurkah,420
Males,65 - 69,Yarrawonga,291
Females,65 - 69,Yarrawonga,349
Males,65 - 69,Mooroopna,256
Females,65 - 69,Mooroopna,295
Males,65 - 69,Shepparton - North,439
Females,65 - 69,Shepparton - North,443
Males,65 - 69,Shepparton - South,570
Females,65 - 69,Shepparton - South,644
Males,65 - 69,Shepparton Region - East,147
Females,65 - 69,Shepparton Region - East,116
Males,65 - 69,Shepparton Region - West,329
Females,65 - 69,Shepparton Region - West,264
Males,65 - 69,Glenelg (Vic.),362
Females,65 - 69,Glenelg (Vic.),340
Males,65 - 69,Hamilton (Vic.),336
Females,65 - 69,Hamilton (Vic.),337
Males,65 - 69,Portland,394
Females,65 - 69,Portland,348
Males,65 - 69,Southern Grampians,256
Females,65 - 69,Southern Grampians,216
Males,65 - 69,Camperdown,150
Females,65 - 69,Camperdown,145
Males,65 - 69,Colac,326
Females,65 - 69,Colac,392
Males,65 - 69,Colac Region,221
Females,65 - 69,Colac Region,199
Males,65 - 69,Corangamite - North,207
Females,65 - 69,Corangamite - North,199
Males,65 - 69,Corangamite - South,226
Females,65 - 69,Corangamite - South,192
Males,65 - 69,Otway,163
Females,65 - 69,Otway,158
Males,65 - 69,Moyne - East,192
Females,65 - 69,Moyne - East,180
Males,65 - 69,Moyne - West,350
Females,65 - 69,Moyne - West,324
Males,65 - 69,Warrnambool - North,533
Females,65 - 69,Warrnambool - North,626
Males,65 - 69,Warrnambool - South,383
Females,65 - 69,Warrnambool - South,415
Males,65 - 69,Migratory - Offshore - Shipping (Vic.),0
Females,65 - 69,Migratory - Offshore - Shipping (Vic.),0
Males,65 - 69,No usual address (Vic.),170
Females,65 - 69,No usual address (Vic.),141
Males,70 - 74,Brunswick,269
Females,70 - 74,Brunswick,282
Males,70 - 74,Brunswick East,102
Females,70 - 74,Brunswick East,121
Males,70 - 74,Brunswick West,159
Females,70 - 74,Brunswick West,195
Males,70 - 74,Coburg,323
Females,70 - 74,Coburg,384
Males,70 - 74,Pascoe Vale South,114
Females,70 - 74,Pascoe Vale South,134
Males,70 - 74,Alphington - Fairfield,103
Females,70 - 74,Alphington - Fairfield,116
Males,70 - 74,Northcote,280
Females,70 - 74,Northcote,336
Males,70 - 74,Thornbury,202
Females,70 - 74,Thornbury,238
Males,70 - 74,Ascot Vale,159
Females,70 - 74,Ascot Vale,181
Males,70 - 74,Essendon - Aberfeldie,354
Females,70 - 74,Essendon - Aberfeldie,394
Males,70 - 74,Flemington,84
Females,70 - 74,Flemington,101
Males,70 - 74,Moonee Ponds,216
Females,70 - 74,Moonee Ponds,204
Males,70 - 74,Carlton,120
Females,70 - 74,Carlton,111
Males,70 - 74,Docklands,94
Females,70 - 74,Docklands,52
Males,70 - 74,East Melbourne,122
Females,70 - 74,East Melbourne,125
Males,70 - 74,Flemington Racecourse,3
Females,70 - 74,Flemington Racecourse,0
Males,70 - 74,Kensington (Vic.),93
Females,70 - 74,Kensington (Vic.),112
Males,70 - 74,Melbourne,150
Females,70 - 74,Melbourne,107
Males,70 - 74,North Melbourne,160
Females,70 - 74,North Melbourne,151
Males,70 - 74,Parkville,71
Females,70 - 74,Parkville,86
Males,70 - 74,South Yarra - West,149
Females,70 - 74,South Yarra - West,149
Males,70 - 74,Southbank,129
Females,70 - 74,Southbank,121
Males,70 - 74,West Melbourne,0
Females,70 - 74,West Melbourne,0
Males,70 - 74,Albert Park,359
Females,70 - 74,Albert Park,344
Males,70 - 74,Elwood,134
Females,70 - 74,Elwood,152
Males,70 - 74,Port Melbourne,275
Females,70 - 74,Port Melbourne,306
Males,70 - 74,Port Melbourne Industrial,0
Females,70 - 74,Port Melbourne Industrial,0
Males,70 - 74,South Melbourne,191
Females,70 - 74,South Melbourne,190
Males,70 - 74,St Kilda,324
Females,70 - 74,St Kilda,246
Males,70 - 74,St Kilda East,141
Females,70 - 74,St Kilda East,170
Males,70 - 74,Armadale,186
Females,70 - 74,Armadale,212
Males,70 - 74,Prahran - Windsor,216
Females,70 - 74,Prahran - Windsor,243
Males,70 - 74,South Yarra - East,208
Females,70 - 74,South Yarra - East,266
Males,70 - 74,Toorak,379
Females,70 - 74,Toorak,423
Males,70 - 74,Abbotsford,86
Females,70 - 74,Abbotsford,80
Males,70 - 74,Carlton North - Princes Hill,150
Females,70 - 74,Carlton North - Princes Hill,150
Males,70 - 74,Collingwood,65
Females,70 - 74,Collingwood,89
Males,70 - 74,Fitzroy,108
Females,70 - 74,Fitzroy,126
Males,70 - 74,Fitzroy North,193
Females,70 - 74,Fitzroy North,201
Males,70 - 74,Richmond (Vic.),308
Females,70 - 74,Richmond (Vic.),384
Males,70 - 74,Yarra - North,132
Females,70 - 74,Yarra - North,127
Males,70 - 74,Ashburton (Vic.),114
Females,70 - 74,Ashburton (Vic.),128
Males,70 - 74,Balwyn,314
Females,70 - 74,Balwyn,396
Males,70 - 74,Balwyn North,312
Females,70 - 74,Balwyn North,361
Males,70 - 74,Camberwell,373
Females,70 - 74,Camberwell,481
Males,70 - 74,Glen Iris - East,249
Females,70 - 74,Glen Iris - East,309
Males,70 - 74,Hawthorn,297
Females,70 - 74,Hawthorn,348
Males,70 - 74,Hawthorn East,231
Females,70 - 74,Hawthorn East,247
Males,70 - 74,Kew,442
Females,70 - 74,Kew,519
Males,70 - 74,Kew East,117
Females,70 - 74,Kew East,134
Males,70 - 74,Surrey Hills (West) - Canterbury,303
Females,70 - 74,Surrey Hills (West) - Canterbury,347
Males,70 - 74,Bulleen,267
Females,70 - 74,Bulleen,312
Males,70 - 74,Doncaster,462
Females,70 - 74,Doncaster,582
Males,70 - 74,Templestowe,426
Females,70 - 74,Templestowe,438
Males,70 - 74,Templestowe Lower,375
Females,70 - 74,Templestowe Lower,440
Males,70 - 74,Doncaster East (North),324
Females,70 - 74,Doncaster East (North),352
Males,70 - 74,Doncaster East (South),271
Females,70 - 74,Doncaster East (South),418
Males,70 - 74,Blackburn,350
Females,70 - 74,Blackburn,398
Males,70 - 74,Blackburn South,186
Females,70 - 74,Blackburn South,241
Males,70 - 74,Box Hill,238
Females,70 - 74,Box Hill,294
Males,70 - 74,Box Hill North,268
Females,70 - 74,Box Hill North,321
Males,70 - 74,Burwood,143
Females,70 - 74,Burwood,232
Males,70 - 74,Burwood East,253
Females,70 - 74,Burwood East,318
Males,70 - 74,Surrey Hills (East) - Mont Albert,156
Females,70 - 74,Surrey Hills (East) - Mont Albert,163
Males,70 - 74,Beaumaris,317
Females,70 - 74,Beaumaris,346
Males,70 - 74,Brighton (Vic.),543
Females,70 - 74,Brighton (Vic.),627
Males,70 - 74,Brighton East,298
Females,70 - 74,Brighton East,354
Males,70 - 74,Cheltenham - Highett (West),157
Females,70 - 74,Cheltenham - Highett (West),225
Males,70 - 74,Hampton,298
Females,70 - 74,Hampton,356
Males,70 - 74,Sandringham - Black Rock,384
Females,70 - 74,Sandringham - Black Rock,414
Males,70 - 74,Bentleigh - McKinnon,300
Females,70 - 74,Bentleigh - McKinnon,373
Males,70 - 74,Carnegie,231
Females,70 - 74,Carnegie,290
Males,70 - 74,Caulfield - North,290
Females,70 - 74,Caulfield - North,301
Males,70 - 74,Caulfield - South,325
Females,70 - 74,Caulfield - South,313
Males,70 - 74,Elsternwick,158
Females,70 - 74,Elsternwick,188
Males,70 - 74,Hughesdale,89
Females,70 - 74,Hughesdale,123
Males,70 - 74,Murrumbeena,114
Females,70 - 74,Murrumbeena,129
Males,70 - 74,Ormond - Glen Huntly,138
Females,70 - 74,Ormond - Glen Huntly,183
Males,70 - 74,Bentleigh East (North),187
Females,70 - 74,Bentleigh East (North),243
Males,70 - 74,Bentleigh East (South),203
Females,70 - 74,Bentleigh East (South),248
Males,70 - 74,Aspendale Gardens - Waterways,128
Females,70 - 74,Aspendale Gardens - Waterways,140
Males,70 - 74,Braeside,0
Females,70 - 74,Braeside,0
Males,70 - 74,Carrum - Patterson Lakes,235
Females,70 - 74,Carrum - Patterson Lakes,254
Males,70 - 74,Chelsea - Bonbeach,256
Females,70 - 74,Chelsea - Bonbeach,332
Males,70 - 74,Chelsea Heights,107
Females,70 - 74,Chelsea Heights,125
Males,70 - 74,Cheltenham - Highett (East),371
Females,70 - 74,Cheltenham - Highett (East),505
Males,70 - 74,Edithvale - Aspendale,209
Females,70 - 74,Edithvale - Aspendale,263
Males,70 - 74,Mentone,252
Females,70 - 74,Mentone,298
Males,70 - 74,Moorabbin - Heatherton,160
Females,70 - 74,Moorabbin - Heatherton,135
Males,70 - 74,Moorabbin Airport,0
Females,70 - 74,Moorabbin Airport,0
Males,70 - 74,Mordialloc - Parkdale,270
Females,70 - 74,Mordialloc - Parkdale,363
Males,70 - 74,Malvern - Glen Iris,351
Females,70 - 74,Malvern - Glen Iris,424
Males,70 - 74,Malvern East,323
Females,70 - 74,Malvern East,334
Males,70 - 74,Bundoora - East,257
Females,70 - 74,Bundoora - East,290
Males,70 - 74,Greensborough,419
Females,70 - 74,Greensborough,419
Males,70 - 74,Heidelberg - Rosanna,239
Females,70 - 74,Heidelberg - Rosanna,320
Males,70 - 74,Heidelberg West,183
Females,70 - 74,Heidelberg West,196
Males,70 - 74,Ivanhoe,174
Females,70 - 74,Ivanhoe,179
Males,70 - 74,Ivanhoe East - Eaglemont,175
Females,70 - 74,Ivanhoe East - Eaglemont,173
Males,70 - 74,Montmorency - Briar Hill,385
Females,70 - 74,Montmorency - Briar Hill,391
Males,70 - 74,Viewbank - Yallambie,383
Females,70 - 74,Viewbank - Yallambie,433
Males,70 - 74,Watsonia,170
Females,70 - 74,Watsonia,186
Males,70 - 74,Kingsbury,125
Females,70 - 74,Kingsbury,151
Males,70 - 74,Reservoir - East,404
Females,70 - 74,Reservoir - East,523
Males,70 - 74,Reservoir - West,408
Females,70 - 74,Reservoir - West,497
Males,70 - 74,Preston - East,248
Females,70 - 74,Preston - East,309
Males,70 - 74,Preston - West,129
Females,70 - 74,Preston - West,178
Males,70 - 74,Eltham,423
Females,70 - 74,Eltham,436
Males,70 - 74,Hurstbridge,64
Females,70 - 74,Hurstbridge,64
Males,70 - 74,Kinglake,67
Females,70 - 74,Kinglake,48
Males,70 - 74,Panton Hill - St Andrews,104
Females,70 - 74,Panton Hill - St Andrews,83
Males,70 - 74,Plenty - Yarrambat,162
Females,70 - 74,Plenty - Yarrambat,162
Males,70 - 74,Research - North Warrandyte,131
Females,70 - 74,Research - North Warrandyte,125
Males,70 - 74,Wattle Glen - Diamond Creek,200
Females,70 - 74,Wattle Glen - Diamond Creek,193
Males,70 - 74,Bundoora - North,64
Females,70 - 74,Bundoora - North,77
Males,70 - 74,Bundoora - West,160
Females,70 - 74,Bundoora - West,183
Males,70 - 74,Lalor,461
Females,70 - 74,Lalor,514
Males,70 - 74,Mill Park - North,221
Females,70 - 74,Mill Park - North,226
Males,70 - 74,Mill Park - South,173
Females,70 - 74,Mill Park - South,186
Males,70 - 74,Thomastown,483
Females,70 - 74,Thomastown,517
Males,70 - 74,Wallan,206
Females,70 - 74,Wallan,178
Males,70 - 74,Whittlesea,173
Females,70 - 74,Whittlesea,202
Males,70 - 74,Doreen,204
Females,70 - 74,Doreen,199
Males,70 - 74,Epping - East,147
Females,70 - 74,Epping - East,158
Males,70 - 74,Epping - South,145
Females,70 - 74,Epping - South,156
Males,70 - 74,Epping - West,54
Females,70 - 74,Epping - West,50
Males,70 - 74,Mernda,127
Females,70 - 74,Mernda,135
Males,70 - 74,South Morang (North),74
Females,70 - 74,South Morang (North),92
Males,70 - 74,South Morang (South),146
Females,70 - 74,South Morang (South),187
Males,70 - 74,Wollert,58
Females,70 - 74,Wollert,47
Males,70 - 74,Airport West,145
Females,70 - 74,Airport West,187
Males,70 - 74,Essendon Airport,0
Females,70 - 74,Essendon Airport,0
Males,70 - 74,Keilor,256
Females,70 - 74,Keilor,244
Males,70 - 74,Keilor East,720
Females,70 - 74,Keilor East,871
Males,70 - 74,Niddrie - Essendon West,81
Females,70 - 74,Niddrie - Essendon West,97
Males,70 - 74,Strathmore,142
Females,70 - 74,Strathmore,159
Males,70 - 74,Gisborne,274
Females,70 - 74,Gisborne,269
Males,70 - 74,Macedon,91
Females,70 - 74,Macedon,67
Males,70 - 74,Riddells Creek,83
Females,70 - 74,Riddells Creek,63
Males,70 - 74,Romsey,201
Females,70 - 74,Romsey,181
Males,70 - 74,Coburg North,103
Females,70 - 74,Coburg North,119
Males,70 - 74,Fawkner,155
Females,70 - 74,Fawkner,233
Males,70 - 74,Pascoe Vale,248
Females,70 - 74,Pascoe Vale,315
Males,70 - 74,Glenroy,314
Females,70 - 74,Glenroy,357
