Sex,Age,Region,Value
Females,0 - 4,Hadfield,175
Males,0 - 4,Sunbury,385
Females,0 - 4,Sunbury,376
Males,0 - 4,Sunbury - South,964
Females,0 - 4,Sunbury - South,916
Males,0 - 4,Broadmeadows,577
Females,0 - 4,Broadmeadows,520
Males,0 - 4,Campbellfield - Coolaroo,627
Females,0 - 4,Campbellfield - Coolaroo,623
Males,0 - 4,Gladstone Park - Westmeadows,502
Females,0 - 4,Gladstone Park - Westmeadows,451
Males,0 - 4,Greenvale - Bulla,534
Females,0 - 4,Greenvale - Bulla,478
Males,0 - 4,Meadow Heights,558
Females,0 - 4,Meadow Heights,546
Males,0 - 4,Melbourne Airport,0
Females,0 - 4,Melbourne Airport,0
Males,0 - 4,Roxburgh Park - Somerton,883
Females,0 - 4,Roxburgh Park - Somerton,819
Males,0 - 4,Tullamarine,197
Females,0 - 4,Tullamarine,192
Males,0 - 4,Craigieburn - Central,337
Females,0 - 4,Craigieburn - Central,304
Males,0 - 4,Craigieburn - North,647
Females,0 - 4,Craigieburn - North,637
Males,0 - 4,Craigieburn - South,761
Females,0 - 4,Craigieburn - South,671
Males,0 - 4,Craigieburn - West,1005
Females,0 - 4,Craigieburn - West,888
Males,0 - 4,Mickleham - Yuroke,161
Females,0 - 4,Mickleham - Yuroke,142
Males,0 - 4,Bayswater,396
Females,0 - 4,Bayswater,420
Males,0 - 4,Knoxfield - Scoresby,485
Females,0 - 4,Knoxfield - Scoresby,450
Males,0 - 4,Lysterfield,153
Females,0 - 4,Lysterfield,162
Males,0 - 4,Rowville - Central,444
Females,0 - 4,Rowville - Central,411
Males,0 - 4,Rowville - North,234
Females,0 - 4,Rowville - North,243
Males,0 - 4,Rowville - South,275
Females,0 - 4,Rowville - South,273
Males,0 - 4,Wantirna,383
Females,0 - 4,Wantirna,344
Males,0 - 4,Wantirna South,409
Females,0 - 4,Wantirna South,380
Males,0 - 4,Boronia,755
Females,0 - 4,Boronia,721
Males,0 - 4,Ferntree Gully (North),426
Females,0 - 4,Ferntree Gully (North),455
Males,0 - 4,Ferntree Gully (South) - Upper Ferntree Gully,484
Females,0 - 4,Ferntree Gully (South) - Upper Ferntree Gully,425
Males,0 - 4,The Basin,165
Females,0 - 4,The Basin,131
Males,0 - 4,Donvale - Park Orchards,392
Females,0 - 4,Donvale - Park Orchards,364
Males,0 - 4,Warrandyte - Wonga Park,208
Females,0 - 4,Warrandyte - Wonga Park,169
Males,0 - 4,Bayswater North,417
Females,0 - 4,Bayswater North,383
Males,0 - 4,Croydon Hills - Warranwood,518
Females,0 - 4,Croydon Hills - Warranwood,510
Males,0 - 4,Ringwood,620
Females,0 - 4,Ringwood,560
Males,0 - 4,Ringwood East,713
Females,0 - 4,Ringwood East,682
Males,0 - 4,Ringwood North,267
Females,0 - 4,Ringwood North,267
Males,0 - 4,Croydon - East,614
Females,0 - 4,Croydon - East,540
Males,0 - 4,Croydon - West,441
Females,0 - 4,Croydon - West,406
Males,0 - 4,Croydon South,191
Females,0 - 4,Croydon South,171
Males,0 - 4,Forest Hill,302
Females,0 - 4,Forest Hill,308
Males,0 - 4,Mitcham (Vic.),544
Females,0 - 4,Mitcham (Vic.),564
Males,0 - 4,Nunawading,394
Females,0 - 4,Nunawading,395
Males,0 - 4,Vermont,324
Females,0 - 4,Vermont,314
Males,0 - 4,Vermont South,254
Females,0 - 4,Vermont South,217
Males,0 - 4,Belgrave - Selby,301
Females,0 - 4,Belgrave - Selby,309
Males,0 - 4,Chirnside Park,315
Females,0 - 4,Chirnside Park,270
Males,0 - 4,Healesville - Yarra Glen,437
