Postcode,active,cases,data_date,Suburb
3314,0,0,30/01/2021,Cavendish
3315,0,0,30/01/2021,Coleraine
3318,0,0,30/01/2021,Edenhope
3319,0,0,30/01/2021,Apsley
3321,0,4,30/01/2021,Inverleigh
3324,0,0,30/01/2021,Lismore
3325,0,0,30/01/2021,Derrinallum
3328,0,2,30/01/2021,Teesdale
3329,0,0,30/01/2021,Shelford
3330,0,0,30/01/2021,Rokewood
3331,0,2,30/01/2021,Bannockburn
3332,0,4,30/01/2021,Lethbridge
3333,0,1,30/01/2021,Meredith
3336,0,124,30/01/2021,Fraser rise
3337,0,259,30/01/2021,Melton
3338,0,280,30/01/2021,Exford
3340,0,33,30/01/2021,Bacchus marsh
3341,0,1,30/01/2021,Myrniong
3342,0,2,30/01/2021,Ballan
3345,0,0,30/01/2021,Gordon
3350,0,41,30/01/2021,Ballarat
3351,0,2,30/01/2021,Lake bolac
3352,0,6,30/01/2021,Waubra
3355,0,7,30/01/2021,Wendouree
3356,0,7,30/01/2021,Sebastopol
3357,0,0,30/01/2021,Buninyong
3360,0,0,30/01/2021,Linton
3361,0,0,30/01/2021,Skipton
3363,0,0,30/01/2021,Creswick
3364,0,1,30/01/2021,Newlyn
3370,0,0,30/01/2021,Clunes
3371,0,0,30/01/2021,Talbot
3373,0,0,30/01/2021,Beaufort
3374,0,0,30/01/2021,Great western
3375,0,0,30/01/2021,Buangor
3377,0,5,30/01/2021,Ararat
3379,0,1,30/01/2021,Willaura
3380,0,1,30/01/2021,Stawell
3381,0,1,30/01/2021,Pomonal
3384,0,0,30/01/2021,Concongella
3387,0,0,30/01/2021,Marnoo
3388,0,1,30/01/2021,Rupanyup
3390,0,0,30/01/2021,Murtoa
3392,0,0,30/01/2021,Minyip
3393,0,0,30/01/2021,Warracknabeal
3395,0,0,30/01/2021,Beulah
3396,0,0,30/01/2021,Hopetoun
3401,0,11,30/01/2021,Laharum
3407,0,0,30/01/2021,Balmoral
3409,0,1,30/01/2021,Natimuk
3412,0,0,30/01/2021,Goroke
3414,0,0,30/01/2021,Dimboola
3418,0,0,30/01/2021,Nhill
3419,0,0,30/01/2021,Kaniva
3423,0,0,30/01/2021,Jeparit
3424,0,0,30/01/2021,Yaapeet
3427,0,21,30/01/2021,Diggers rest
3429,0,173,30/01/2021,Sunbury
3431,0,8,30/01/2021,Riddells creek
3432,0,0,30/01/2021,Bolinda
3434,0,9,30/01/2021,Romsey
3435,0,4,30/01/2021,Lancefield
3437,0,11,30/01/2021,Gisborne
3438,0,3,30/01/2021,New gisborne
3440,0,2,30/01/2021,Macedon
3441,0,2,30/01/2021,Mount macedon
3442,0,8,30/01/2021,Woodend
3444,0,7,30/01/2021,Kyneton
3446,0,0,30/01/2021,Malmsbury
3447,0,0,30/01/2021,Taradale
3448,0,0,30/01/2021,Elphinstone
3450,0,3,30/01/2021,Castlemaine
3451,0,3,30/01/2021,Campbells creek
3453,0,1,30/01/2021,Harcourt
3458,0,2,30/01/2021,Trentham
3460,0,0,30/01/2021,Daylesford
3461,0,0,30/01/2021,Yandoit
3462,0,1,30/01/2021,Newstead
3463,0,2,30/01/2021,Maldon
3464,0,0,30/01/2021,Carisbrook
3465,0,2,30/01/2021,Timor
3467,0,1,30/01/2021,Avoca
3468,0,0,30/01/2021,Amphitheatre
3469,0,0,30/01/2021,Elmhurst
3472,0,0,30/01/2021,Dunolly
3475,0,0,30/01/2021,Bealiba
3478,0,1,30/01/2021,St arnaud
3480,0,0,30/01/2021,Donald
3483,0,0,30/01/2021,Birchip
3489,0,0,30/01/2021,Tempy
3490,0,0,30/01/2021,Ouyen
3494,0,0,30/01/2021,Nangiloc
3496,0,1,30/01/2021,Red cliffs
3498,0,3,30/01/2021,Irymple
3500,0,2,30/01/2021,Mildura
